質問,
1,何を投げても壊れないものは何ですか？
2,白くて黒いのに赤いものは何ですか？
3,1年にどれくらいの秒がありますか？
4,全ての月が持っている共通の特徴は何ですか？
5,どんなに長い時間乾燥しても乾かないものは何ですか？
6,夜に寝なくても生きられる生き物は何ですか？
7,コインを1回投げたら表か裏のどちらかが出ますが、コインが必ず両方出るときはどんな場合ですか？
8,一度折れると元に戻らないものは何ですか？
9,ある場所に行くたびに多くの人に会うのに、誰もその場所にいないときがあるのはどこですか？
10,いつもくっついているのに、決して出会わないものは何ですか？
11,昼も夜もなく存在する場所はどこですか？
12,一度持ってしまうと誰にも渡せなくなるものは何ですか？
13,目が一つだけで見えないものは何ですか？
14,常に質問されるのに、決して答えないものは何ですか？
15,全く進まないのに上下に動くものは何ですか？
16,どれだけ食べても満腹にならないのは何ですか？
17,何でも知っているのに、一度も口を開けないものは何ですか？
18,前進すると重くなるのに、後退すると軽くなるものは何ですか？
19,座っていても寝ているように見えるものは何ですか？
20,火にかけても溶けないものは何ですか？
21,昼に見ることができるのに、夜に見ることができないものは何ですか？
22,最も軽い元素は何ですか？
23,一本足で立っているものは何ですか？
24,何もないのに重いものは何ですか？
25,常に何かを求めているのに、何も与えないものは何ですか？
